"Processo","Titular","Localidade","Guia","Substancia","QuantidadeMinerio","DataPublicacao","Prazo","IndicaProrrogacao"
"861.788/2007","AYRTON MARTINS DE RESENDE","ISRAELÂNDIA/GO","67","Areia","25.000 toneladas","19/12/2013","04/04/2014","Não"
"862.066/2007","PEDRAS DE PIRENÓPOLIS LTDA","PIRENÓPOLIS/GO","94","Quartzito","8.000 toneladas","27/10/2011","12/03/2012","Não"
"862.359/2007","ALMORETE BORGES DOS SANTOS FI","LUZIÂNIA/GO, ORIZONA/GO","19","AREIA","10.000  e 22.000 toneladas","17/05/2013","29/06/2013","Não"
"862.384/2007","TRIMINING MINERAÇÃO DO BRASIL LTDA","NIQUELÂNDIA/GO","36","MINÉRIO DE MANGANÊS","6.000 toneladas","19/08/2015","10/07/2016","Não"
"862.384/2007","TRIMINING MINERAÇÃO DO BRASIL LTDA","NIQUELÂNDIA/GO","24","MINÉRIO DE MANGANÊS","6.000 toneladas","14/09/2017","17/07/2018","Não"
"862.384/2007","TRIMINING MINERAÇÃO DO BRASIL LTDA","NIQUELÂNDIA/GO","30","Minério de Manganês","6.000 t","29/10/2018","17/04/2019","Não"
"862.384/2007","TRIMINING MINERAÇÃO DO BRASIL LTDA","NIQUELÂNDIA/GO","32","MINÉRIO DE MANGANÊS","6.000 toneladas","06/07/2016","24/06/2017","Não"
"830.008/2008","AREIA SÃO JOSE EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, CORUMBAÍBA/GO","198","Areia","50.000t/ano","22/09/2011","19/08/2015","Não"
"860.032/2008","EURIPEDES RODRIGUES DA SILVA","NIQUELÂNDIA/GO","80","filito","12000 t","19/01/2010","24/04/2010","Não"
"860.092/2008","IRON MENDES NEVES","GOIANÉSIA/GO, JARAGUÁ/GO","12","AREIA","10.000 TONELADAS","17/02/2012","06/05/2012","Não"
"860.222/2008","VOTORANTIM CIMENTOS S A","EDÉIA/GO","51","ARGILA","15.000 toneladas","08/12/2015","10/09/2016","Não"
"860.224/2008","GREGÓRIO VASSILIVE FERREIRA","PADRE BERNARDO/GO, VILA PROPÍCIO/GO","21","AREIA","9.850 toneladas","30/05/2014","09/05/2015","Não"
"860.224/2008","GREGÓRIO VASSILIVE FERREIRA","PADRE BERNARDO/GO, VILA PROPÍCIO/GO","18","areia","29.760 ton.","26/03/2010","11/12/2010","Não"
"860.235/2008","OZONES RIBEIRO DE PAIVA","RIO VERDE/GO","60","areia","20000 t","19/01/2010","29/07/2010","Não"
"860.235/2008","RIBEIRO E PAIVA LTDA. ME","RIO VERDE/GO","5","AREIA","10.000 toneladas","26/02/2013","21/01/2014","Não"
"860.235/2008","RIBEIRO E PAIVA LTDA. ME","RIO VERDE/GO","19","AREIA","10.000 toneladas","12/07/2017","13/06/2018","Não"
"860.358/2008","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, CUMARI/GO","94","areia/cascalho","5000/8500 t","19/01/2010","04/06/2010","Não"
"860.372/2008","MIGUEL ALVES DE FREITAS","GAMELEIRA DE GOIÁS/GO, SILVÂNIA/GO","11","AREIA","3.000 toneladas","06/07/2016","20/01/2017","Não"
"860.460/2008","OLVANIR ANDRADE DE CARVALHO","GOIÁS/GO, ITAPIRAPUÃ/GO, MATRINCHÃ/GO","29","AREIA","16.875 toneladas","13/06/2013","01/10/2013","Não"
"860.460/2008","AGROPECUARIA OLGA LTDA EPP","GOIÁS/GO, ITAPIRAPUÃ/GO, MATRINCHÃ/GO","55","AREIA","35.000 toneladas","11/12/2014","01/04/2015","Não"
"860.463/2008","ALTO COLLINA MINERADORA LTDA.","CAVALCANTE/GO, COLINAS DO SUL/GO","62","AREIA","50.000 toneladas","23/02/2016","30/11/2016","Não"
"860.586/2008","ARENAN EXTRAÇÃO E COMÉRCIO DE AREIA LTDA","CRISTALINA/GO, IPAMERI/GO","35","AREIA","50.000 toneladas","19/08/2015","10/07/2016","Não"
"860.858/2008","JOSÉ ALBERTO VAZ FI","SILVÂNIA/GO, VIANÓPOLIS/GO","67","AREIA","10.670 toneladas","21/12/2012","18/07/2013","Não"
"860.859/2008","MINERADORA SÃO CRISTOVÃO LTDA ME","SILVÂNIA/GO","35","AREIA","11.984 toneladas","26/06/2013","23/05/2014","Não"
"860.859/2008","MINERADORA SÃO CRISTOVÃO LTDA ME","SILVÂNIA/GO","26","AREIA","11.984 toneladas","24/09/2014","30/04/2015","Não"
"860.859/2008","MINERAÇÃO SANTA LUZIA LTDA","SILVÂNIA/GO","21","Areia","10.000 toneladas","17/10/2011","28/03/2012","Não"
"860.859/2008","MINERAÇÃO SANTA LUZIA LTDA","SILVÂNIA/GO","37","AREIA","10.000 toneladas","29/06/2012","03/05/2013","Não"
"860.881/2008","JOSÉ MENDES RIBEIRO","HIDROLINA/GO, SANTA RITA DO NOVO DESTINO/GO, SÃO LUIZ DO NORTE/GO","93","areia","39000 t","19/01/2010","06/07/2010","Não"
"860.881/2008","J G MINERACAO & TRANSPORTADORA LTDA","SÃO LUIZ DO NORTE/GO","9","Areia","39.000 t","24/05/2019","16/05/2020","Não"
"861.039/2008","TEOFANES JOSÉ NETO ME","SILVÂNIA/GO","6","AREIA","10.000 toneladas","26/02/2013","03/05/2013","Não"
"861.040/2008","IRMÃOS CUNHA AREIA E CASCALHO LTDA","SILVÂNIA/GO","48","areia","39000 t","19/01/2010","09/02/2010","Não"
"861.151/2008","VALEMAR VALE DO MARANHÃO MINERAÇÃO LTDA ME","MIMOSO DE GOIÁS/GO","12","MINÉRIO DE FERRO","200.000 toneladas","30/05/2014","09/03/2015","Não"
"861.151/2008","VALEMAR VALE DO MARANHÃO MINERAÇÃO LTDA ME","MIMOSO DE GOIÁS/GO","97","Minério de Ferro","30.000 Toneladas","13/11/2019","27/11/2020","Não"
"861.151/2008","VALEMAR VALE DO MARANHÃO MINERAÇÃO LTDA ME","MIMOSO DE GOIÁS/GO","4","MINÉRIO DE FERRO","300.000 toneladas","25/04/2018","10/04/2019","Não"
"861.151/2008","VALEMAR VALE DO MARANHÃO MINERAÇÃO LTDA ME","MIMOSO DE GOIÁS/GO","30","MINÉRIO DE FERRO","30.981,52 toneladas","06/07/2016","23/05/2017","Não"
"861.151/2008","VALEMAR VALE DO MARANHÃO MINERAÇÃO LTDA ME","MIMOSO DE GOIÁS/GO","9","MINÉRIO DE FERRO","300.000 toneladas","12/07/2017","03/04/2018","Não"
"861.151/2008","VALEMAR VALE DO MARANHÃO MINERAÇÃO LTDA ME","MIMOSO DE GOIÁS/GO","16","Minério de Ferro","30.000 Toneladas","30/08/2019","27/11/2019","Não"
"861.291/2008","MUSSE MINERAÇÃO LTDA ME","JAUPACI/GO","20","GRANITO","10.000 toneladas","30/05/2014","27/09/2014","Não"
"861.291/2008","MUSSE MINERAÇÃO LTDA ME","JAUPACI/GO","42","GRANITO","16.500 toneladas","26/06/2013","27/09/2013","Não"
"861.329/2008","JT MINERAÇÃO LTDA","BELA VISTA DE GOIÁS/GO, SENADOR CANEDO/GO","19","QUARTZITO","50.000 toneladas","30/05/2014","16/04/2015","Não"
"861.369/2008","ITAUNA MINERTECH LTDA","NOVA IGUAÇU DE GOIÁS/GO","145","MINÉRIO DE MANGANÊS","6.000 toneladas","16/12/2021","03 (TRÊS) ANOS A CONTAR DA PUBLICAÇÃO NO DIÁRIO OFICIAL DA UNIÃO","Não"
"861.428/2008","C A DA CRUZ EIRELI","SANTA CRUZ DE GOIÁS/GO","24","AREIA","5.000 toneladas","30/05/2014","20/05/2015","Não"
"861.429/2008","C A DA CRUZ EIRELI","SANTA CRUZ DE GOIÁS/GO","23","AREIA","5.974 toneladas","30/05/2014","20/05/2015","Não"
"861.446/2008","DLEON MINERADORA LTDA ME","LUZIÂNIA/GO","32","AREIA","50.000 toneladas","19/08/2015","15/06/2016","Não"
"862.236/2008","ZEUS MINERAÇÃO LTDA.","CAVALCANTE/GO","56","manganês","6000 t","19/01/2010","30/04/2010","Não"
"862.237/2008","MARCOS PAULO FERREIRA","NIQUELÂNDIA/GO","18","Areia e Cascalho","22.000 e 8.000 toneladas","27/10/2011","03/12/2011 e 03/12/2011","Não"
"862.237/2008","MARCOS PAULO FERREIRA","NIQUELÂNDIA/GO","24","CASCALHO E AREIA","8.000 e 22.000 toneladas","17/05/2013","12/04/2014","Não"
"862.266/2008","EGP EMPRESA GLOBAL DE PROJETOS LTDA","CATALÃO/GO","28","GRANITO ( brita)","50.000 toneladas","19/08/2015","03/06/2016","Não"
"862.456/2008","AREIA SÃO TOMÁZ LTDA","MONTIVIDIU/GO","5","AREIA","50.000 toneladas","12/07/2017","14/01/2018","Não"
"862.631/2008","SALVADOR LOURENÇO DOS SANTOS","SILVÂNIA/GO","24","areia","39.000 T","19/05/2010","14/11/2010","Não"
"862.697/2008","ADEMAR LEITE DE ANDRADE","GOIANÉSIA/GO, JARAGUÁ/GO","73","Areia e Cascalho","30.000 e 30.000 toneladas","17/10/2011","02/04/2012 e 02/04/2012","Não"
"862.697/2008","ADEMAR LEITE DE ANDRADE","GOIANÉSIA/GO, JARAGUÁ/GO","4","AREIA","30.000 toneladas","14/04/2015","06/01/2016","Não"
"862.721/2008","SILVANA ARAÚJO DE SOUZA MOREIRA","SILVÂNIA/GO","5","AREIA","24.000 TONELADAS","17/02/2012","26/05/2013","Não"
"862.721/2008","SILVANA ARAÚJO DE SOUZA MOREIRA","SILVÂNIA/GO","56","AREIA","24.000 toneladas","08/12/2015","14/09/2016","Não"
"862.721/2008","SILVANA ARAÚJO DE SOUZA MOREIRA","SILVÂNIA/GO","60","Areia","24.000 toneladas","19/12/2013","18/09/2014","Não"
"862.726/2008","EDUARDO J.M. DE BRITO E CIA LTDA","SILVÂNIA/GO, VIANÓPOLIS/GO","122","Areia","20.000 toneladas","22/12/2011","21/02/2012","Não"
"862.825/2008","PORTO BELO AREIA E CASCALHO LTDA","CIDADE OCIDENTAL/GO, CRISTALINA/GO","72","areia","49800 t","19/01/2010","31/07/2010","Não"
"860.082/2009","MINERAÇÃO SANTA LUZIA LTDA","SILVÂNIA/GO","57","Areia","10.000 toneladas","27/09/2012","18/05/2013","Não"
"860.082/2009","MINERAÇÃO SANTA LUZIA LTDA","SILVÂNIA/GO","4","AREIA","10.178 toneladas","30/05/2014","02/01/2015","Não"
"860.088/2009","GALVÃO ENGENHARIA S A","SANTA TEREZA DE GOIÁS/GO","13","Granito pára prudução de Brita","360.000 Toneladas","25/06/2010","15/04/211","Não"
"860.088/2009","EDEM EMPRESA DE DESENVOLVIMENTO EM MINERAÇÃO E PARTICIPAÇÕES LTDA","SANTA TEREZA DE GOIÁS/GO","6","GRANITO","50.000 toneladas","12/07/2017","10/03/2018","Não"
"860.152/2009","MINERAÇÃO BATALHA E PARTICIPAÇÕES LTDA ME","IPAMERI/GO","57","CALCÁRIO","50.000 toneladas","08/12/2015","30/09/2019","Não"
"860.158/2009","F. G. MINERAÇÃO E TRANSPORTE LTDA ME","SILVÂNIA/GO","50","AREIA","7.000 toneladas","08/12/2015","17/01/2016","Não"
"860.158/2009","F. G. MINERAÇÃO E TRANSPORTE LTDA ME","SILVÂNIA/GO","46","AREIA","5.000 toneladas","24/09/2014","13/08/2015","Não"
"860.158/2009","CLEBER FELIX GOUVEA","SILVÂNIA/GO","11","AREIA","5.200 TONELADAS","17/02/2012","18/07/2012","Não"
"860.158/2009","F. G. MINERAÇÃO E TRANSPORTE LTDA ME","SILVÂNIA/GO","53","Areia","5.200 toneladas","27/09/2012","27/08/2013","Não"
"860.170/2009","ALAOR FERREIRA DA CRUZ","GOIÁS/GO, ITAPIRAPUÃ/GO","10","AREIA","11.205 TONELADAS","17/02/2012","14/07/2012","Não"
"860.236/2009","JOÃO LANCISIO BATISTA ME","SILVÂNIA/GO, VIANÓPOLIS/GO","17","AREIA","11.205 toneladas","13/04/2012","22/06/2013","Não"
"860.236/2009","JC MINERAÇÃO EIRELI ME","SILVÂNIA/GO, VIANÓPOLIS/GO","15","AREIA","16.416 toneladas","12/07/2017","17/04/2018","Não"
"860.311/2009","MRC MINERADORA RIO CLARO LTDA","FAZENDA NOVA/GO","111","Granito","4.000 toneladas","22/12/2011","14/01/1012","Não"
"860.312/2009","AREAL MINAS GOIÁS LTDA","CRISTALINA/GO","115","Areia e Quartzito","30.000 e 4.000 toneladas","22/12/2011","15/06/2012","Não"
"860.367/2009","AREIA ANICUNS MINERAÇÃO IND. E COM. LTDA.","ANICUNS/GO","11","AREIA","50.000 toneladas","30/05/2014","01/04/2015","Não"
"860.544/2009","DRAGA BATISTA RAMOS LTDA ME","SILVÂNIA/GO","72","AREIA","10.670 toneladas","11/12/2014","14/11/2015","Não"
"860.544/2009","DRAGA BATISTA RAMOS LTDA ME","SILVÂNIA/GO","69","Areia","11.000 toneladas","17/10/2011","06/05/2012","Não"
"860.544/2009","DRAGA BATISTA RAMOS LTDA ME","SILVÂNIA/GO","41","Areia","10.600 toneladas","21/09/2012","04/05/2013","Não"
"860.634/2009","SEBASTIÃO GOUVEIA ASSIS ME","JATAÍ/GO","42","ARGILA","1.203 toneladas","19/08/2015","20/07/2016","Não"
"860.662/2009","DEUZANI FERREIRA VILELA","QUIRINÓPOLIS/GO, RIO VERDE/GO","40","AREIA","45.000 toneladas","26/06/2013","16/11/2013","Não"
"860.734/2009","ARERRIOS MINERAÇÃO E TRANSPORTE LTDA ME","ITAPIRAPUÃ/GO, MATRINCHÃ/GO","69","Areia","12.312 toneladas","19/12/2013","08/10/2014","Não"
"860.753/2009","CONSTRUFORTE CONSTRUÇÕES FERREIRA MAIA LTDA","JATAÍ/GO","75","Areia","11.205 toneladas","17/10/2011","19/07/2012","Não"
"860.755/2009","DRAGA IRMÃOS GARCIA LTDA","GOIANÉSIA/GO, SANTA ISABEL/GO","1","01/2017 (CASCALHO) e 02/2017 (AREIA))","01/2017 (3.000) e 02/2017 (20.000) toneladas","12/07/2017","01/2017 (10/01/2018) e 02/2017 (10/01/2018).","Não"
"860.893/2009","FERNANDO DA SILVA ALVES","BURITI DE GOIÁS/GO, CÓRREGO DO OURO/GO, SANCLERLÂNDIA/GO","17","AREIA","10.999 toneladas","06/07/2016","14/03/2017","Não"
"860.893/2009","FERNANDO DA SILVA ALVES","BURITI DE GOIÁS/GO, CÓRREGO DO OURO/GO, SANCLERLÂNDIA/GO","70","AREIA","39.000 TON","25/10/2010","28/09/2011","Não"
"861.059/2009","JOSÉ LEOMAR E IRACIMAR LTDA","CATALÃO/GO, IPAMERI/GO","127","AREIA","10.000 TONELADAS","23/01/2012","18/03/2012","Não"
"861.071/2009","AREIA FORTALEZA LTDA","CUMARI/GO","7","AREIA E CASCALHO","16.200 e 1.800 toneladas","16/11/2012","27/06/2013","Não"
"861.162/2009","PILAR DE GOIAS DESENVOLVIMENTO MINERAL S.A.","GUARINOS/GO","20","MINÉRIO DE OURO","50.000 toneladas","19/08/2015","05/10/2015","Não"
"861.162/2009","COMPANHIA GOIANA DE OURO","GUARINOS/GO","71","MINÉRIO DE OURO","50.000 toneladas","11/12/2014","08/04/2015","Não"
"861.162/2009","PILAR DE GOIAS DESENVOLVIMENTO MINERAL S.A.","GUARINOS/GO","59","MINÉRIO DE OURO","50.000 toneladas","08/12/2015","13/10/2016","Não"
"861.162/2009","PILAR DE GOIAS DESENVOLVIMENTO MINERAL S.A.","GUARINOS/GO","12","MINERIO DE OURO","200.000 TONELADAS","10/03/2016","18/08/2017","Não"
"861.286/2009","KF MINERAÇÃO & TRANSPORTE LTDA.","NOVA GLÓRIA/GO, SANTA ISABEL/GO","85","Areia","30.000 toneladas","17/10/2011","12/05/2012","Não"
"861.382/2009","CERÂMICA SANTA LÚCIA LTDA","AVELINÓPOLIS/GO, CATURAÍ/GO, TRINDADE/GO","44","Argila","12.000 toneladas","21/09/2012","19/07/2012","Não"
"861.382/2009","CERÂMICA SANTA LÚCIA LTDA","AVELINÓPOLIS/GO, CATURAÍ/GO, TRINDADE/GO","33","ARGILA","20.000 toneladas","26/06/2013","06/03/2014 - OBS: Lavra permitida somente para o município de Caturaí/GO.","Não"
"861.441/2009","MINERPAL MINERAÇÃO E COMÉRCIO LTDA","GOIÁS/GO","30","AREIA","20.000 toneladas","26/06/2013","16/05/2014","Não"
"861.441/2009","MINERPAL MINERAÇÃO E COMÉRCIO LTDA","GOIÁS/GO","27","AREIA","20.000 toneladas","06/07/2016","06/05/2017","Não"
"861.460/2009","MINERPAL MINERAÇÃO E COMÉRCIO LTDA","GOIÁS/GO","31","AREIA","10.000 toneladas","26/06/2013","16/05/2014","Não"
"861.460/2009","MINERPAL MINERAÇÃO E COMÉRCIO LTDA","GOIÁS/GO","43","AREIA","10.000 toneladas","24/09/2014","04/07/2015","Não"
"861.475/2009","MINERAÇÃO JD LTDA","APARECIDA DE GOIÂNIA/GO","59","XISTO PARA BRITA","50.000 toneladas","16/11/2012","17/09/2013","Não"
"861.535/2009","VETTEL ENGENHARIA & MINERAÇÃO LTDA","ÁGUAS LINDAS DE GOIÁS/GO, COCALZINHO DE GOIÁS/GO","30","AREIA","30.000 toneladas","19/08/2015","15/06/2016","Não"
"861.592/2009","MINERAÇÃO NOVO BRASIL GRANITOS LTDA","FAZENDA NOVA/GO, JAUPACI/GO","45","AREIA","42.000 toneladas","08/12/2015","13/08/2016","Não"
"861.592/2009","MINERAÇÃO NOVO BRASIL GRANITOS LTDA","FAZENDA NOVA/GO, JAUPACI/GO","25","AREIA","42.000 toneladas","13/06/2012","30/11/2013","Não"
"861.648/2009","ARMAZEM DA AREIA LTDA","SENADOR CANEDO/GO","81","Areia","50.000 toneladas","19/12/2013","03/12/2014","Não"
"861.648/2009","ARMAZEM DA AREIA LTDA","SENADOR CANEDO/GO","200","QUARTZITO (PRODUÇÃO DE AREIA)","50.000 toneladas","28/05/2020","17/04/2021","Não"
"861.648/2009","ARMAZEM DA AREIA LTDA","GOIÂNIA/GO, SENADOR CANEDO/GO","126","QUARTZITO (AREIA)","50.000 TONELADAS/ANO","16/12/2021","03 (TRÊS) ANOS A CONTAR DA PUBLICAÇÃO NO DIÁRIO OFICIAL DA UNIÃO","Não"
"861.711/2009","JLL MINERAÇÃO LTDA ME","ORIZONA/GO, SILVÂNIA/GO, VIANÓPOLIS/GO","65","AREIA","50.000 toneladas","04/12/2012","14/05/2013","Não"
"860.011/2010","CERÂMICA SOLIMÕES LTDA","MUTUNÓPOLIS/GO, ESTRELA DO NORTE/GO, MARA ROSA/GO","44","ARGILA","12.000 toneladas","21/12/2016","10/08/2017","Não"
"860.015/2010","ARENAN EXTRAÇÃO E COMÉRCIO DE AREIA LTDA","ORIZONA/GO","82","Areia","50.000 toneladas","17/10/2011","05/08/2012","Não"
"860.097/2010","FERNANDO CESAR CINTRA","ARAGUAPAZ/GO, FAINA/GO, MATRINCHÃ/GO","22","AREIA","14.774 toneladas","17/05/2013","03/09/2013","Não"
"860.187/2010","JOSE PEDRO VAZ NETO ME","CATALÃO/GO, CUMARI/GO, TRÊS RANCHOS/GO","17","AREIA","25.000 toneladas","12/07/2017","17/04/2018","Não"
"860.194/2010","D. L. DO PRADO M. CONSTRUÇÃO","ISRAELÂNDIA/GO","126","AREIA","11.205 TONELADAS","23/01/2012","14/05/2012","Não"
"860.194/2010","D. L. DO PRADO M. CONSTRUCAO ME","ISRAELÂNDIA/GO","3","AREIA","18.000 toneladas","30/05/2014","06/01/2015","Não"
"860.308/2010","JOSÉ ALFREDO GUIMARÃES DE SÁ","ÁGUA FRIA DE GOIÁS/GO","13","AREIA","40.000 TONELADAS","17/02/2012","27/12/2012","Não"
"860.319/2010","KANOPUS MINERADORA LTDA ME","SILVÂNIA/GO, VIANÓPOLIS/GO","55","Areia","5.200 toneladas","17/10/2011","02/05/2012","Não"
"860.358/2010","IDELBRANDO CESAR DE MORAIS","FAINA/GO","124","AREIA","11.205 TONELADAS","23/01/2012","04/10/2012","Não"
"860.396/2010","ALEXANDRE LUIZ RIBEIRO DE FREITAS NERY ALVE","JAÚ DO TOCANTINS/TO, MONTIVIDIU DO NORTE/GO","25","Granito (Rocha Ornamental)","16.000 t","12/09/2018","05/09/2019","Não"
"860.396/2010","STTTONES & ESPATO BRASIL LTDA ME","JAÚ DO TOCANTINS/TO, MONTIVIDIU DO NORTE/GO","387","GRANITO (ROCHA ORNAMENTAL)","16.000 t","24/03/2021","18/09/2021 (vencimento do alvará de pesquisa)","Não"
"860.396/2010","STTONES & ESPATO BRASIL LTDA","JAÚ DO TOCANTINS/TO, MONTIVIDIU DO NORTE/GO","471","GRANITO (USO ROCHA ORNAMENTAL)","16.000 TONELADAS","04/11/2024","3 anos","Não"
"860.444/2010","FABRICIO DE SIQUEIRA MENDONÇA","APARECIDA DE GOIÂNIA/GO, HIDROLÂNDIA/GO","38","CASCALHO","8.500 toneladas","29/06/2012","01/06/2013","Não"
"860.541/2010","ARM NAKAGAVA LTDA ME","BARRO ALTO/GO, NIQUELÂNDIA/GO","50","AREIA","16.416 toneladas","02/09/2013","01/08/2014","Não"
"860.684/2010","ARM NAKAGAVA LTDA ME","NIQUELÂNDIA/GO, VILA PROPÍCIO/GO","59","Areia","10.000 toneladas","17/10/2011","10/05/2012","Não"
"860.694/2010","FLÁVIO LEANDRO PALMERSTON ABRANTES","BELA VISTA DE GOIÁS/GO, HIDROLÂNDIA/GO, PIRACANJUBA/GO","10","AREIA","50.000 toneladas","04/03/2013","20/08/2013","Não"
"860.722/2010","WELLINGTON ALVES DE OLIVEIRA","NIQUELÂNDIA/GO","58","AREIA","50.000 toneladas","11/12/2014","20/09/2015","Não"
"860.782/2010","IDELBRANDO CESAR DE MORAIS","FAINA/GO","8","AREIA","11.205 toneladas","26/02/2013","26/07/2013","Não"
"860.816/2010","JAIME DE MELO REIS","FORMOSA/GO","11","AREIA","50.000 toneladas","04/03/2013","20/11/2013","Não"
"860.816/2010","JAIME DE MELO REIS","FORMOSA/GO","86","Areia","20.000 toneladas","17/10/2011","31/08/2012","Não"
"860.816/2010","JJX: FORTES INDÚSTRIA, COMÉRCIO, CONSTRUÇÕES E MINERAÇÃO LTDA ME","FORMOSA/GO","8","AREIA","50.000 toneladas","14/04/2015","12/08/2016","Não"
"860.816/2010","JJX: FORTES INDÚSTRIA, COMÉRCIO, CONSTRUÇÕES E MINERAÇÃO LTDA ME","FORMOSA/GO","8","AREIA","50.000 toneladas","30/05/2014","11/12/2014","Não"
"860.853/2010","MINERAÇÃO & TRANSPORTE NOSSA SENHORA APARECIDA LTDA","GOUVELÂNDIA/GO, QUIRINÓPOLIS/GO","90","Areia","50.000 toneladas","17/10/2011","03/11/2012","Não"
"860.884/2010","SETA MINERAÇÃO LTDA","CACHOEIRA ALTA/GO, QUIRINÓPOLIS/GO","84","Areia","20.000 toneladas","17/10/2011","08/01/2012","Não"
"860.884/2010","SETA MINERAÇÃO LTDA","CACHOEIRA ALTA/GO, QUIRINÓPOLIS/GO","22","AREIA","50.000 toneladas","30/05/2014","05/05/2015","Não"
"861.050/2010","VÂNIA DELZULITA DE MOURA LIMA ME","SANTA CRUZ DE GOIÁS/GO","17","AREIA","10.014 toneladas","30/05/2014","11/04/2015","Não"
"861.050/2010","VÂNIA DELZULITA DE MOURA LIMA ME","SANTA CRUZ DE GOIÁS/GO","23","AREIA","14.774 toneladas","19/08/2015","02/12/2015","Não"
"861.052/2010","MAURO CÉSAR RIBEIRO","BURITI DE GOIÁS/GO, SANCLERLÂNDIA/GO","27","AREIA","24.624 toneladas","19/08/2015","25/05/2016","Não"
"861.123/2010","MINERPAL MINERAÇÃO E COMÉRCIO LTDA","GOIÁS/GO","66","AREIA","35.000 toneladas","11/12/2014","17/04/2015","Não"
"861.123/2010","MINERPAL MINERAÇÃO E COMÉRCIO LTDA","GOIÁS/GO","45","AREIA","35.000 toneladas","02/09/2013","25/06/2014","Não"
"861.124/2010","BORGES E HORI MINERAÇÃO LTDA","GOIÁS/GO","46","AREIA","10.000 toneladas","02/09/2013","02/07/2014","Não"
"861.124/2010","RUBIA MINERAÇÃO E COMÉRCIO LTDA","GOIÁS/GO","8","AREIA","25.000 toneladas","12/07/2017","30/03/2018","Não"
"861.141/2010","J.R. PEREIRA","NAZÁRIO/GO, PALMEIRAS DE GOIÁS/GO, SANTA BÁRBARA DE GOIÁS/GO","41","ARGILA","12.000 toneladas","24/09/2014","18/06/2015","Não"
"861.141/2010","J.R. PEREIRA","NAZÁRIO/GO, PALMEIRAS DE GOIÁS/GO, SANTA BÁRBARA DE GOIÁS/GO","47","Argila","12.000 toneladas","27/09/2012","16/12/2012","Não"
"861.152/2010","FERNANDO LOPES PEREIRA","ALOÂNDIA/GO, MORRINHOS/GO, PONTALINA/GO","62","Areia","3.000 toneladas","19/12/2013","12/11/2013","Não"
"861.210/2010","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, TUPACIGUARA/MG, CORUMBAÍBA/GO","14","AREIA","50.000 toneladas","06/07/2016","01/03/2017","Não"
"861.210/2010","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, TUPACIGUARA/MG, CORUMBAÍBA/GO","25","Areia","50.000 t","04/01/2018","06/10/2018","Não"
"861.210/2010","AREIA SÃO JOSE EXTRAÇÃO, COMÉRCIO E TRANSPORTE LTDA ME","ARAGUARI/MG, TUPACIGUARA/MG, CORUMBAÍBA/GO","8","Areia","50.000 t","09/05/2019","23/04/2020","Não"
"861.211/2010","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, CORUMBAÍBA/GO","9","Areia","50.000 t","06/06/2018","16/05/2019","Não"
"861.211/2010","AREIA SÃO JOSE EXTRAÇÃO, COMÉRCIO E TRANSPORTE LTDA ME","ARAGUARI/MG, CORUMBAÍBA/GO","11","AREIA","50.000 Toneladas","28/06/2019","28/11/2020","Não"
"861.211/2010","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, CORUMBAÍBA/GO","52","AREIA","50.000 toneladas","24/09/2014","15/06/2016","Não"
"861.212/2010","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, CORUMBAÍBA/GO","26","Areia","50.000 t","04/01/2018","06/10/2018","Não"
"861.212/2010","AREIA SÃO JOSE EXTRAÇÃO, COMÉRCIO E TRANSPORTE LTDA ME","ARAGUARI/MG, CORUMBAÍBA/GO","8","AREIA","50.000 T","22/01/2021","01","Não"
"861.300/2010","JOFEGE MINERAÇÃO LTDA","VILA PROPÍCIO/GO","3","CALCÁRIO","20.000 toneladas","12/07/2017","16/01/2018","Não"
"861.426/2010","SERRA VERDE PESQUISA E MINERAÇÃO LTDA.","MINAÇU/GO","28055","Terras Raras","5.000 t","20/12/2022","3 anos","Não"
"861.427/2010","SERRA VERDE PESQUISA E MINERAÇÃO LTDA","MINAÇU/GO","59","MINÉRIO DE TERRAS RARAS","50.000 Toneladas","02/10/2013","09/12/2013","Não"
"861.429/2010","SERRA VERDE PESQUISA E MINERAÇÃO LTDA","MINAÇU/GO, TROMBAS/GO","56","MINÉRIO DE TERRAS RARAS","50.000 Toneladas","02/10/2013","31/01/2014","Não"
"861.430/2010","SERRA VERDE PESQUISA E MINERAÇÃO LTDA","MINAÇU/GO","57","MINÉRIO DE TERRAS RARAS","50.000 toneladas","02/10/2013","31/01/2014","Não"
"861.431/2010","SERRA VERDE PESQUISA E MINERAÇÃO LTDA","MINAÇU/GO","60","MINÉRIO DE TERRAS RARAS","50.000 Toneladas","02/10/2013","31/03/2014","Não"
"861.432/2010","SERRA VERDE PESQUISA E MINERAÇÃO LTDA","MINAÇU/GO","61","MINÉRIO DE TERRAS RARAS","50.000 Toneladas","02/10/2013","06/05/2014","Não"
