"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação","Data da Cessão"
"Gerência Regional / GO","860823/2017","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.823.831-**","TARRIGAN DE MELO","MUTUNÓPOLIS - GO, PORANGATU - GO","MINÉRIO DE COBRE, MINÉRIO DE OURO","Industrial, Industrial","Sim","23/03/2022"
"Gerência Regional / GO","860513/2020","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.877.196/0001-16","MINERADORA GOLD DIESEL S.A.","GUARINOS - GO, PILAR DE GOIÁS - GO, SANTA TEREZINHA DE GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim","07/10/2021"
"Gerência Regional / GO","860513/2020","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.877.196/0001-16","MINERADORA GOLD DIESEL S.A.","GUARINOS - GO, PILAR DE GOIÁS - GO, SANTA TEREZINHA DE GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim","27/01/2026"
"Gerência Regional / GO","860435/2012","Requerimento de Cessão parcial","Concessão de Lavra","27.390.543/0001-19","EDMAR A. MOTA LTDA","FAZENDA NOVA - GO, MOIPORÁ - GO","AREIA, DIAMANTE","Construção civil, Industrial","Sim","23/01/2017"
"Gerência Regional / GO","813474/1973","Requerimento de Autorização de Pesquisa","Concessão de Lavra","27.556.902/0001-65","ACTUALPAR ADMINISTRACAO E PARTICIPACAO LTDA","APARECIDA DE GOIÂNIA - GO","MICAXISTO","Demais substâncias","Sim","05/03/2004"
"Gerência Regional / GO","860238/2010","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","19.500.340/0001-00","HGM MINERACAO E TRANSPORTES LTDA","CIDADE OCIDENTAL - GO, CRISTALINA - GO","AREIA, ARGILA, MINÉRIO DE OURO","Construção civil, Industrial, Industrial","Sim","22/12/2011"
"Gerência Regional / GO","860203/2018","Requerimento de Autorização de Pesquisa","Concessão de Lavra","30.323.122/0001-80","FETZ MINERADORA LTDA.","RIO VERDE - GO","BASALTO","Revestimento","Sim","22/10/2020"
"Gerência Regional / GO","861279/2013","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","33.419.930/0001-33","TERRA NOVA MINERACAO LTDA","RIO VERDE - GO, SANTO ANTÔNIO DA BARRA - GO","BASALTO, FOSFATO","Brita, Fertilizantes","Sim","29/08/2018"
"Gerência Regional / GO","861836/2013","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","06/05/2016"
"Gerência Regional / GO","861836/2013","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","30/09/2015"
"Gerência Regional / GO","861628/2013","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","02/12/2019"
"Gerência Regional / GO","861628/2013","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","06/05/2016"
"Gerência Regional / GO","860645/2015","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","02/12/2019"
"Gerência Regional / GO","860602/2014","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","30/09/2015"
"Gerência Regional / GO","860602/2014","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","02/12/2019"
"Gerência Regional / GO","860404/2014","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","30/09/2015"
"Gerência Regional / GO","860404/2014","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","02/12/2019"
"Gerência Regional / GO","860214/2011","Requerimento de Autorização de Pesquisa","Concessão de Lavra","17.671.818/0001-39","EXTRACAO DE AREIA E TRANSPORTES PIRACANJUBA LTDA","BURITI ALEGRE - GO","AREIA, CASCALHO","Construção civil, Construção civil","Sim","02/09/2016"
"Gerência Regional / GO","861064/2014","Requerimento de Cessão parcial","Concessão de Lavra","22.131.400/0001-79","AD3 PARTICIPACOES LTDA","GOIÁS - GO","AREIA","Construção civil","Sim","15/07/2016"
"Gerência Regional / GO","861428/2013","Requerimento de Cessão parcial","Requerimento de Lavra","22.160.712/0001-00","Jf Areal Eireli Me","SANTA CRUZ DE GOIÁS - GO","AREIA","Construção civil","Sim","29/01/2016"
"Gerência Regional / GO","861212/2012","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.612.141-**","WIVIAN AMARAL RIOS","CAMPOS VERDES - GO","ESMERALDA","Gema","Sim","13/06/2016"
"Gerência Regional / GO","860257/2017","Requerimento de Autorização de Pesquisa","Concessão de Lavra","16.699.143/0001-73","NATALIA ANDRADE RIBEIRO NR MINERAÇÃO","CRISTALINA - GO","AREIA, QUARTZO","Construção civil, Industrial","Sim","21/11/2019"
"Gerência Regional / GO","860567/2017","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","37.859.048/0001-60","Ancora Engenharia Ltda","GOIÂNIA - GO, SENADOR CANEDO - GO","QUARTZITO","Revestimento","Sim","19/03/2018"
"Gerência Regional / GO","860962/2015","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","24.114.203/0001-77","Triunfo Mineraçao Ltda Epp","CAVALCANTE - GO","MINÉRIO DE MANGANÊS","Industrial","Sim","06/04/2016"
"Gerência Regional / GO","860114/2015","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","24.233.624/0001-17","ARARAS MINERACAO S.A.","PILAR DE GOIÁS - GO, SANTA TEREZINHA DE GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim","15/03/2016"
"Gerência Regional / GO","861620/2021","Requerimento de Mudança de Regime para Aut. de Pesquisa","Requerimento de Lavra","24.216.534/0001-18","AREIAL E TERRAPLANAGEM SILVEIRA LTDA","GOIÁS - GO","AREIA","Construção civil","Sim","17/03/2026"
"Gerência Regional / GO","861752/2013","Requerimento de Autorização de Pesquisa","Concessão de Lavra","25.001.607/0001-17","COMERCIO DE ENGARRAFAMENTO DE AGUA MINERAL JADE EIRELI","ITABERAÍ - GO","ÁGUA MINERAL","Engarrafamento","Sim","11/08/2016"
"Gerência Regional / GO","862889/2011","Requerimento de Autorização de Pesquisa","Concessão de Lavra","18.491.706/0001-69","MINERACAO CRISTAL COMERCIO DE AREIA & CASCALHO LTDA","URUAÇU - GO","AREIA, CASCALHO","Construção civil, Construção civil","Sim","11/08/2016"
"Gerência Regional / GO","861062/2016","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.823.726-**","ALICE MARIA PEREIRA SILVA","CAÇU - GO, ITARUMÃ - GO, SANTA VITÓRIA - MG","DIAMANTE, DIAMANTE","Gema, Industrial","Sim","05/05/2026"
"Gerência Regional / GO","860364/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","25.260.776/0001-71","NEW STONES MINERACAO LTDA","COLINAS DO SUL - GO","MINÉRIO DE OURO, QUARTZO","Industrial, Industrial","Sim","31/03/2023"
"Gerência Regional / GO","860370/2014","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","04.791.723/0001-07","NC - COMERCIO VAREJISTA DE AREIAS LTDA","PIRACANJUBA - GO","AREIA","Construção civil","Sim","23/01/2017"
"Gerência Regional / GO","860906/2024","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","08.829.496/0001-12","MINERACAO LESTE DE MINAS LTDA","POSSE - GO","MÁRMORE","Revestimento","Sim","04/09/2025"
"Gerência Regional / GO","861357/2015","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","26.895.654/0001-14","L & L DISTRIBUIDORA DE AREIA E TRANSPORTES EIRELI","AURILÂNDIA - GO","AREIA","Construção civil","Sim","15/05/2019"
"Gerência Regional / GO","861067/2021","Requerimento de Pesquisa - Leilão","Autorização de Pesquisa","24.628.608/0001-23","IVAN VIEIRA DO NASCIMENTO","GUARANI DE GOIÁS - GO, IACIARA - GO","AREIA","Construção civil","Sim","29/03/2022"
"Gerência Regional / GO","862914/2011","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","26.373.959/0001-66","Mineração Cristalina Ltda","CRISTALINA - GO","MINÉRIO DE OURO","Industrial","Sim","13/07/2017"
"Gerência Regional / GO","860039/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","26.775.934/0001-99","KALINA C DA SILVA BEZERRA PROJETOS MINERAIS LTDA","CAMPINAÇU - GO, FORMOSO - GO, MINAÇU - GO, TROMBAS - GO","BERILO, MOSCOVITA, OURO, TURMALINA","Gema, Gema, Industrial, Industrial","Sim","14/04/2026"
"Gerência Regional / GO","861506/2015","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","24.143.457/0001-13","RAVAZE MINERACAO LTDA","IVOLÂNDIA - GO, PALESTINA DE GOIÁS - GO","AREIA, DIAMANTE","Construção civil, Industrial","Sim","13/08/2019"
"Gerência Regional / GO","860064/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.593.681-**","ANA RITA DE FONTES SIQUEIRA","PIRENÓPOLIS - GO","AREIA, MINÉRIO DE OURO, QUARTZITO","Construção civil, Industrial, Industrial","Sim","24/11/2023"
"Gerência Regional / GO","860259/2025","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","27.179.107/0001-03","MINERACAO DE AREIA BARROS - EIRELI","RIO VERDE - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","27/01/2026"
"Gerência Regional / GO","861313/2015","Requerimento de Disponibilidade para pesquisa","Concessão de Lavra","27.468.408/0001-49","MINERACAO MOURA LTDA","GUAPÓ - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","11/05/2017"
"Gerência Regional / GO","860028/2017","Requerimento de Disponibilidade para lavra","Concessão de Lavra","27.541.433/0001-00","JET EXTRACAO DE AREIA LTDA","CAMPESTRE DE GOIÁS - GO, PALMEIRAS DE GOIÁS - GO","AREIA","Construção civil","Sim","25/09/2017"
"Gerência Regional / GO","860364/2010","Requerimento de Autorização de Pesquisa","Concessão de Lavra","27.710.993/0001-41","UNIÃO MINERADORA LTDA ME","PADRE BERNARDO - GO","CALCÁRIO, CALCÁRIO CALCÍTICO, QUARTZITO","Corretivo de solo, Fabricação de cimento, Revestimento","Sim","10/08/2017"
"Gerência Regional / GO","860851/2016","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.724.955-**","JOSE DIEGO CORREIA DOS SANTOS","CAVALCANTE - GO","MINÉRIO DE OURO","Industrial","Sim","21/08/2017"
"Gerência Regional / GO","860234/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","15.104.852/0001-04","SANTASOPHIE AGROPECUARIA LTDA","BONÓPOLIS - GO, MUNDO NOVO - GO","AREIA, DIAMANTE","Construção civil, Industrial","Sim","10/08/2017"
"Gerência Regional / GO","862280/2011","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","09.426.949/0001-22","GRAN FORT SOCIEDADE UNIPESSOAL LTDA","CAMPESTRE DE GOIÁS - GO, PALMEIRAS DE GOIÁS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","15/06/2018"
"Gerência Regional / GO","860666/2007","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","28.188.719/0001-17","CNC CARBONATOS NIQUELANDIA E COLINAS EXPLORACAO E COMERCIALIZACAO DE MINERIOS LTDA","NIQUELÂNDIA - GO","CALCÁRIO CALCÍTICO, CALCÁRIO DOLOMÍTICO, MINÉRIO DE OURO","Corretivo de solo, Corretivo de solo, Industrial","Sim","21/11/2019"
"Gerência Regional / GO","862631/2008","Requerimento de Cessão parcial","Concessão de Lavra","25.454.292/0001-63","LEANDRO RODRIGO DE SOUSA LTDA","SILVÂNIA - GO","AREIA","Construção civil","Sim","12/01/2018"
"Gerência Regional / GO","860750/2017","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.824.131-**","TALES DE MELO","AMARALINA - GO, MARA ROSA - GO","MINÉRIO DE OURO","Industrial","Sim","18/03/2022"
"Gerência Regional / GO","860823/2017","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.823.831-**","TARRIGAN DE MELO","MUTUNÓPOLIS - GO, PORANGATU - GO","MINÉRIO DE COBRE, MINÉRIO DE OURO","Industrial, Industrial","Sim","23/03/2022"
"Gerência Regional / GO","861231/2014","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","28.454.986/0001-99","REI DA AREIA LTDA","CAIAPÔNIA - GO, IVOLÂNDIA - GO","AREIA, DIAMANTE","Construção civil, Industrial","Sim","27/11/2019"
"Gerência Regional / GO","860396/2010","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.644.005/0001-76","STTONES & ESPATO BRASIL LTDA","JAÚ DO TOCANTINS - TO, MONTIVIDIU DO NORTE - GO","GRANITO, MINÉRIO DE OURO","Industrial, Revestimento","Sim","30/05/2019"
"Gerência Regional / GO","860513/2020","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.877.196/0001-16","MINERADORA GOLD DIESEL S.A.","GUARINOS - GO, PILAR DE GOIÁS - GO, SANTA TEREZINHA DE GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim","03/05/2022"
"Gerência Regional / GO","862668/2011","Requerimento de Cessão parcial","Concessão de Lavra","27.748.087/0001-36","NOVA ESPERANCA EXTRACAO E MINERACAO DE AREIAS LTDA","CORUMBÁ DE GOIÁS - GO","AREIA, QUARTZITO","Construção civil, Industrial","Sim","08/08/2024"
"Gerência Regional / GO","860435/2012","Requerimento de Cessão parcial","Concessão de Lavra","27.390.543/0001-19","EDMAR A. MOTA LTDA","FAZENDA NOVA - GO, MOIPORÁ - GO","AREIA, DIAMANTE","Construção civil, Industrial","Sim","21/05/2018"
"Gerência Regional / GO","860879/2016","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","11.430.844/0001-99","Associação Pai Eterno e Perpetuo Socorro","NIQUELÂNDIA - GO","MINÉRIO DE NÍQUEL, MINÉRIO DE OURO","Industrial, Industrial","Sim","25/01/2018"
"Gerência Regional / GO","860658/2012","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","29.159.796/0001-01","PEDREIRA CATHALÃO LTDA","CATALÃO - GO","ILMENITA","Industrial","Sim","20/08/2018"
"Gerência Regional / GO","862740/2011","Requerimento de Autorização de Pesquisa","Concessão de Lavra","29.541.600/0001-49","DOMUS AUREA MINERACAO LTDA","CRIXÁS - GO","MINÉRIO DE OURO","Industrial","Sim","06/03/2018"
"Gerência Regional / GO","862739/2011","Requerimento de Autorização de Pesquisa","Concessão de Lavra","29.541.600/0001-49","DOMUS AUREA MINERACAO LTDA","CRIXÁS - GO","MINÉRIO DE OURO","Industrial","Sim","06/03/2018"
"Gerência Regional / GO","813474/1973","Requerimento de Autorização de Pesquisa","Concessão de Lavra","27.556.902/0001-65","ACTUALPAR ADMINISTRACAO E PARTICIPACAO LTDA","APARECIDA DE GOIÂNIA - GO","MICAXISTO","Demais substâncias","Sim","20/08/2019"
"Gerência Regional / GO","860238/2010","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","19.500.340/0001-00","HGM MINERACAO E TRANSPORTES LTDA","CIDADE OCIDENTAL - GO, CRISTALINA - GO","AREIA, ARGILA, MINÉRIO DE OURO","Construção civil, Industrial, Industrial","Sim","23/10/2024"
"Gerência Regional / GO","860203/2018","Requerimento de Autorização de Pesquisa","Concessão de Lavra","30.323.122/0001-80","FETZ MINERADORA LTDA.","RIO VERDE - GO","BASALTO","Revestimento","Sim","12/12/2019"
"Gerência Regional / TO","864219/2020","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","23.877.808/0001-57","AFLA INVESTIMENTOS E PARTICIPAÇÕES LTDA","JAÚ DO TOCANTINS - TO, MONTIVIDIU DO NORTE - GO","CALCÁRIO, MINÉRIO DE OURO","Corretivo de solo, Industrial","Sim","20/05/2022"
"Gerência Regional / GO","860255/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","23.877.808/0001-57","AFLA INVESTIMENTOS E PARTICIPAÇÕES LTDA","AMARALINA - GO, MARA ROSA - GO","MINÉRIO DE OURO","Industrial","Sim","26/03/2019"
"Gerência Regional / GO","860556/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","30.326.153/0001-94","JONAS DIAS DOS SANTOS - DRAGA LL COMERCIO E SERVICOS","MONTE ALEGRE DE GOIÁS - GO","AREIA","Construção civil","Sim","08/03/2019"
"Gerência Regional / GO","861143/2021","Requerimento de Pesquisa - Leilão","Autorização de Pesquisa","30.294.129/0001-10","M2M COMÉRCIO DE MARMORES E GRANITOS LTDA","PORANGATU - GO","GRANITO","Revestimento","Sim","03/03/2023"
"Gerência Regional / GO","860002/2017","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","30.294.129/0001-10","M2M COMÉRCIO DE MARMORES E GRANITOS LTDA","PORANGATU - GO","MINÉRIO DE OURO","Industrial","Sim","05/10/2020"
"Gerência Regional / GO","860409/2018","Requerimento de Cessão parcial","Requerimento de Lavra","33.419.930/0001-33","TERRA NOVA MINERACAO LTDA","SANTO ANTÔNIO DA BARRA - GO","BASALTO, FOSFATO","Brita, Fertilizantes","Sim","04/07/2019"
"Gerência Regional / GO","861724/2012","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","33.419.930/0001-33","TERRA NOVA MINERACAO LTDA","CAIAPÔNIA - GO","BASALTO, FOSFATO","Brita, Fertilizantes","Sim","04/07/2019"
"Gerência Regional / GO","861279/2013","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","33.419.930/0001-33","TERRA NOVA MINERACAO LTDA","RIO VERDE - GO, SANTO ANTÔNIO DA BARRA - GO","BASALTO, FOSFATO","Brita, Fertilizantes","Sim","04/07/2019"
"Gerência Regional / GO","860334/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","VILA PROPÍCIO - GO","CALCÁRIO","Fabricação de cimento","Sim","04/05/2020"
"Gerência Regional / GO","860333/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","COCALZINHO DE GOIÁS - GO","CALCÁRIO","Fabricação de cimento","Sim","04/05/2020"
"Gerência Regional / GO","860332/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","BARRO ALTO - GO, NIQUELÂNDIA - GO","CALCÁRIO","Fabricação de cimento","Sim","04/05/2020"
"Gerência Regional / GO","860310/2017","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","GOIANÉSIA - GO","CALCÁRIO","Corretivo de solo","Sim","04/05/2020"
"Gerência Regional / GO","860214/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","NIQUELÂNDIA - GO","CALCÁRIO","Fabricação de cimento","Sim","04/05/2020"
"Gerência Regional / GO","860091/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","MIMOSO DE GOIÁS - GO","CALCÁRIO, MÁRMORE","Fabricação de cimento, Revestimento","Sim","21/11/2019"
"Gerência Regional / GO","860087/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","MIMOSO DE GOIÁS - GO","CALCÁRIO, MÁRMORE","Fabricação de cimento, Revestimento","Sim","21/11/2019"
"Gerência Regional / GO","860084/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","MIMOSO DE GOIÁS - GO","CALCÁRIO, MÁRMORE","Fabricação de cimento, Revestimento","Sim","21/11/2019"
"Gerência Regional / GO","860083/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","VILA PROPÍCIO - GO","CALCÁRIO, MÁRMORE","Fabricação de cimento, Revestimento","Sim","21/11/2019"
"Gerência Regional / GO","860051/2016","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","NIQUELÂNDIA - GO","CALCÁRIO","Fabricação de cimento","Sim","04/05/2020"
"Gerência Regional / GO","860789/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","GOIANÉSIA - GO","CALCÁRIO","Corretivo de solo","Sim","04/05/2020"
"Gerência Regional / GO","860575/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","VILA PROPÍCIO - GO","CALCÁRIO","Fabricação de cimento","Sim","04/05/2020"
"Gerência Regional / GO","860564/2017","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","VILA PROPÍCIO - GO","CALCÁRIO","Fabricação de cimento","Sim","04/05/2020"
"Gerência Regional / GO","860563/2017","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","PIRENÓPOLIS - GO, VILA PROPÍCIO - GO","CALCÁRIO","Fabricação de cimento","Sim","04/05/2020"
"Gerência Regional / GO","860530/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","VILA PROPÍCIO - GO","CALCÁRIO","Fabricação de cimento","Sim","04/05/2020"
"Gerência Regional / GO","860428/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","28.648.288/0001-24","HIPERCAL EMPREENDIMENTOS LTDA","VILA PROPÍCIO - GO","CALCÁRIO","Fabricação de cimento","Sim","04/05/2020"
"Gerência Regional / GO","860268/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO, SANTA RITA DO NOVO DESTINO - GO","MINÉRIO DE OURO","Industrial","Sim","02/12/2019"
"Gerência Regional / GO","860242/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","02/12/2019"
"Gerência Regional / GO","861836/2013","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","02/12/2019"
"Gerência Regional / GO","861628/2013","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","26/08/2015"
"Gerência Regional / GO","861034/2021","Requerimento de Pesquisa - Leilão","Autorização de Pesquisa","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE MANGANÊS, OURO","Industrial, Industrial","Sim","03/05/2022"
"Gerência Regional / GO","860645/2015","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","06/05/2016"
"Gerência Regional / GO","860602/2014","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","06/05/2016"
"Gerência Regional / GO","860547/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","02/12/2019"
"Gerência Regional / GO","860404/2014","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","06/05/2016"
"Gerência Regional / GO","860320/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","02/12/2019"
"Gerência Regional / GO","860271/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","33.507.961/0001-46","OURO FINO DE GOIAS MINERACAO E PARTICIPACOES S.A","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","02/12/2019"
"Gerência Regional / GO","860397/2011","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","36.601.506/0001-01","MINERACAO RIO TIGRE LTDA","PADRE BERNARDO - GO","CALCÁRIO","Fabricação de cimento","Sim","15/03/2021"
"Gerência Regional / GO","860397/2011","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","36.601.506/0001-01","MINERACAO RIO TIGRE LTDA","PADRE BERNARDO - GO","CALCÁRIO","Fabricação de cimento","Sim","21/11/2019"
"Gerência Regional / GO","860423/2020","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","36.903.503/0001-14","VALE DA SERRA MINERACAO LTDA","CAMPINAÇU - GO, MINAÇU - GO","TERRAS RARAS","Industrial","Sim","15/04/2024"
"Gerência Regional / GO","804365/1975","Requerimento de Autorização de Pesquisa","Concessão de Lavra","29.541.600/0001-49","DOMUS AUREA MINERACAO LTDA","CRIXÁS - GO","CIANITA, MINÉRIO DE OURO","Demais substâncias, Industrial","Sim","30/05/2008"
"Gerência Regional / GO","804365/1975","Requerimento de Autorização de Pesquisa","Concessão de Lavra","29.541.600/0001-49","DOMUS AUREA MINERACAO LTDA","CRIXÁS - GO","CIANITA, MINÉRIO DE OURO","Demais substâncias, Industrial","Sim","06/03/2018"
